Name
Abouriou
Agiorgitiko
Aglianco
Aglianico
Aidani
Airen
Airén
Aladasturi
Albana
Albanella
Albanello
Albarin
Albarino
Albariño
Albarin Red
Albarola
Albilla
Albillo
Albillo Real
Aleatico
Alexandrouli
Alfocheiro
Alfrocheiro
Alibernet
Alicante
Alicante Boucshet
Alicante Bouschet
Aligote
Aligoté
Alionza
Alsatian Plums
Altesse
Altsse
Alvarelhao
Alvarinho
Amaral
Amarone
Amigne
Ancellotta
Ansonaco
Ansonica
Antao Vaz
Antão Vaz
Apple Cidre
Apples
Aragonez
Aramon
Arbanne
Arbillo
Arinto
Arneis
Arnsburger
Aromella
Asprinio
Assrytiko
Assyrtiko
Athiri
Aubun
Aurore
Auxerrois
Avesso
Azal Branco
Babić
Bacchus
Baco Noir
Badiki
Baga
Baratuciat
Barbaresco
Barbera
Barbera D’Alba
Barbera D’Asti
Barcelo
Baroque
Bartlett Pear
Bastarda
Bastardo
Beer
Beier
Bekari
Bellone
Bena Krkosija
Ben Davis
Benevento Barbera
Bequignol
Biancame
Biancazita
Bianchelo del Metauro
Bianchetta
Bianchetta Trevigiana
Bianco d'Alessano
Biancolella
Bical
Black Hamburgh
Black Muscat of Tyrnavos
Blatina
Blatterle
Blauburger
Blauer Koelner
Blauer Kölner
Blauer Portugieser
Blauer Wildbacher
Blaufrankisch
Blaufränkisch
Boal
Bobal
Bogazkere
Bogdanjuša
Bombino Bianco
Bonarda
Borraçal
Bosco
Bourboulenc
Bourgogne Blanc
Bovale Sardo
Brachetto
Brancellao
Braucol
Brianna
Bual
Cabernet
Cabernet Dorsa
Cabernet Franc
Cabernet France
Cabernet Pfeffer
Cabernet Sauvignon
Cab Franc
Cagnulari
Caino Blanco
Caiño Longo
Caiño Tinto
Cairgnan
Calabrese
Caladoc
Calkarasi
Callet
Callet Negrella
Camaralet
Canaiolo
Canaiolo Bianco
Canaiolo Nero
Canelli White Moscato
Cannonau
Caprettone
Carcaghjolu
Carenyena
Carignan
Carignan Blanc
Carignane
Carignan Gris
Carignano
Carinena
Carmenere
Carménère
Carricante
Cartoíxa Vermell
Castelão
Castellana Negra
Cataratto
Catarrato
Catarratto
Cayetana
Cayuga White
Centisimino
Cerceal Branco
Cercial
Cesanese
Cesanese Commune
Cesanese di Affile
Chambave Muscat
Chambourcin
Charbono
Chardonnay
Chardonnay Muscaté
Chardonnay Musqué
Chardonnay Rosé
Chasan
Chasselas
Chatus
Chelva Blanca
Chenin Blanc
Chenin Blanc - oaked aged
Chinebuli
Chinuri
Cianoros
Cibino Bianco
Ciliegiolo
Cinsault
Clairette
Clairette Rose
Cococciola
Coda di Volpe
Coda di Volpe Rosso
Codega do Larinho
Códega do Larinho
Colgadeira
Collio
Colombard
Colorino
Concejón
Corinto
Cornalin
Cortese
Cortese di Gavi
Corvina
Corvina Grossa
Corvina Veronese
Corvinone
Côt
Counoise
Courbu
Cournoise
Crato Branco
Cremant de Loire
Criolla Chica
Criolla Grande
Cristal
Croatina
Csabagyöngye
Cserszegi Füszeres
Cunoise
Dabouki
Debina
Debit
DeChaunac
De Chaunac
Delaware
Devin
Diagalves
Diego
Dijon
Distilled Spirits
Dolcetto
Doña Blanca
Donzelinho
Dornfelder
Doux d'Henry
Drupeggio
Dunaj
Duras
Durella
Durello
Early Muscat
Elbling
Encruzado
Erbaluce
Escursac
Espadeiro
Espadeiro Loureiro
Espadin (Agave)
Étraire de la Dui
Eva de los Santos
Ezerjo
Falanghina
Famosa di Cesena
Famoso
Favorita
Fekete Járdovány
Fenile
Fernanda
Fernão Pires
Ferrol
Ferrón
Fer Servadou
Fiano
Fie Gris
Fogarina
Foglia Tonda
Fogoneu
Folle Blanche
Forastera
Fortana
Francisi
Frappato
Fredonia
Freisa
Friulano
Fromenteau
Frontenac Blanc
Frontenac Gris
Frontenac Noir
Fruhburgunder
Fumin
Furmint
Gaglioppo
Galego Dourado
Gamaret
Gamay
Gamay Chaudenay
Gamay d'Auvergne
Gamay de Bouse
Gamay de Chaudenay
Gamay Noir
Gamay St. Romain
Gamay Teinturier
Garganega
Garganega
Garnacha
Garnacha Blanca
Garnacha Calabrese
Garnacha Gris
Garnacha Roja
Garnacha Tintorera
Garnatxa
Garnatxa Blanca
Garnatxa Negra
Garnatxa Peluda
Garnatxa Rosat
Garnatxa Tinta
Garnazza
Garrut
Gascon
Gelber Traminer
Gewurztraminer
Gilbert
Ginestra
Giró Blanc
Giró Ros
Giró Ros
Glera
Godello
Gohér 
Gorgollasa
Gouveio
Gouvejo
Graciano
Granatza
Grao Negro
Graševina
Grauburgunder
Gravensteins
Grecanico
Grecanico Dorato
Grechetto
Grechetto di Todi
Grechetto Nero
Greco
Greco Bianco
Greco di Tufo
Grecomusc
Greco Nero
Green Hungarian
Greghetto
Grenache
Grenache Blanc
Grenache Gris
Grenache Gris and Malvoisie du Roussillon
Grenache Noir
Grignolino
Grillo
Gringet
Grolleau
Grolleau Blanc
Grolleau Gris
Gropella
Groppello
Gros Courbu
Gros Manseng
Gruner Veltliner
Grüner Veltliner
GSM
Gual
Guardavalle
Guarnaccia
Harslevelu
Hárslevelű
Hondarrabi Zuri
Hondarrabi Zuri
Hondarribi Beltza
Hondarribi Zuri
Hondarribi Zuri Zerratia
Huxelrebe
Incrocio Manzoni
Insolia
Inzolia
Irsai Olivér
Italia
Itasca
Izkiriota
Izkiriota Ttippia
Jacquere
Jacquez
Jaen
Jakot
Jampal
Jaqué
Joannita
Johaniter
Jonathan
Juan Garcia
Juhfark
Jurançon Noir
Kadarka
Kakotrigis
Kalecik Karasi
Kambuša
Karasakiz
Karasakız
Kekfrankos
Kékfrankos
Kéknyelű
Kerner
Khikhvi
Kidonista
Kinali Yapincak
Királyleányka
Kisi
Koshu
Kosmas
Kotsifali
Krakhuna
Kraljevina
Krassato
La Crescent
Lacrima
La Crosse
Lado
Lagarino
Lagrein
Lambrusco
Lambrusco Barghi
Lambrusco Benatti
Lambrusco Benetti
Lambrusco di Sorbara
Lambrusco Grasparossa di Castelvetro
Lambrusco Maestri
Lambrusco Marani
Lambrusco Oliva
Lambrusco Ruberti
Lambrusco Salamino
Langhe Favorita
Lasin
Lasina
Laški Rizling
Lemberger
Leon Millot
Liatiko
Limnio
Limniona
Listan Blanco
Listán Blanco
Listan Gaucho
Listan Negro
Listán Negro
Listán Prieto
Lledoner Pelut
Local Variety
Loin de l’oeil
Louise Swenson
Loureiro
Lumassina
Macabeo
Macabeu
Maccabeu
Magliocco
Magliocco Canino
Malagousia
Malagouzia
Malbec
Malbo Gentile
Malvar
Malvasia
Malvasia Aromatica
Malvasia Bianca
Malvasia de Colares
Malvasia de Sitges
Malvasia di Candia
Malvasia di Candia Aromatica
Malvasia Fina
Malvasia Lunga
Malvasia Nera
Malvasia Puntinata
Malvasia Toscana
Malvasía Volcanica
Malvazija
Malvoisie du Roussillon
Mammolo
Mandilari
Mando
Mantonegro
Mantonico
Manzoni Moscato
Marastina
Maraština
Maratheftiko
Marchione
Marechal Foch
Maria Gomes
Marina
Marmajuelo
Marquette
Marsanne
Marselan
Marzemino
Mataro
Maturana Blanca
Maturana Tinta
Maturano
Mauzac
Mauzac Vert
Mavro
Mavrodaphne
Mavro Kalavrytino
Mavropatrino
Mavrotragano
Mavroudi
Mayolet
Mazuelo
Melody
Melon de Bourgogne
Mencia
Mencía
Menu Pineau
Merenzao
Merlot
Merseguera
Merwah
Meslier Saint-François
Miguel de Arcos
Miguel del Arco
Minella
Minella Bianco
Minella Nera
Minnella
Minutolo
Mission
Modra Frankinja
Molette
Molinara
Monastrell
Mondeuse
Monica
Montepila
Montepulciano
Montils
Montonega
Montonico
Moravia Agria
Moravian Muscat
Morillon
Morio-Muskat
Moristel Juán Ibáñez
Moscadella
Moscatel
Moscatel daAlexandria
Moscatel de Alejandria
Moscatel de Chipiona
Moscatel de Grano Menudo
Moscatell
Moscato
Moscato Bianco
Moscato d’Amburgo
Moscato Fior d’Arancio
Moscato Giallo
Moscato Rosa
Moscato Spinas
Moschofilero
Moschomavro
Mostarino
Mouklo
Mouratón
Mourtaou
Mourvedre
Mourvèdre
Mouvdedre
Mouvedre
Mtsvane
Muetto
Mujuretuli
Muller Thurgau
Müller-Thurgau
Munemahatsa
Muristellu
Muscadelle
Muscadet
Muscaris
Muscat
Muscat Bailey A
Muscat Blanc
Muscat Blanc à Petits Grains
Muscat d’Alexandrie
Muscat de Frontignan
Muscat de Hambourg
Muscat of Alexandria
Muscat Ottonel
Muscat Rose
Muscat Valvin
Muscat Vert
Muskateller
Muskat Ottonel
Narince
Nascetta
Nasco
Natural Chardonnay
Nebbiolo
Negoska
Negra Criolla
Negra Mole
Negramoll
Negrara
Negretta
Negrette
Negroamaro
Neo Muscat
Nerello Cappuccio
Nerello Capuccio
Nerello Mascalese
Neretta Cuneese
Neretto di San Giorgio
Nero Buono
Nero d'Avola
Nero d’Avola
Nero di Troia
Neuburger
Niagara
Nibiò
Niellucciu
Niellucio
Nielluciu
Nocera
Noiret
Nosiola
Noual
Nuragus
Obaideh
Oeillade
Okuzgozu
Olaszrizling
Old Wente 
Olivella
Olive Oil
Orange Muscat
Orbois
Ortega
Ortrugo
Oseleta
Osoleta
Otskhanuri Sapere
Ottonese
Padeira
Padeiro
Pais
País
Pálava
Palomino
Palomino Fino
Pansa Blanca
Papalote (Agave)
Parallaba
Pardina
Parellada
Parsé
Passerina
Passerina del Frusinate
Pátria
Pavana 
Peach
Pear
Pecorino
Pecorino d'Abruzzo
Pedernã
Pedro Ximenez
Pedro Ximinez
Pelaverga
Pepella
Perera
Perricone
Perrum
Perruno
Persan
Petit Corbu
Petit Courbu
Petite Arvine
Petite Bouchet
Petite Pearl
Petite Sirah
Petite Syrah
Petit Manseng
Petit Meslier
Petit Rouge
Petit Verdot
Picapoll
Picapolla
Picolit 
Picpoul
Picpoul Noir
Piculit Neri
Piedirosso
Pigato
Pignatello
Pignoletto
Pignolo
Pineau d'Aunis
Pineau d’Aunis
Pinela
Pink Savagnin
Pink Savagnin 
Pinotage
Pinot Auxerrois
Pinot Bianco
Pinot Blanc
Pinot Grigio
Pinot Gris
Pinot Meunier
Pinot Nero
Pinot Noir
Pinot Vanderville
Piqeupoul Noir
Piquepoul
Plavac Mali
Plavac Mali Sivi
Plavec
Plavina
Ploussard
Plyto
Pokalca
Pollera
Pommard
Portugeiser
Portugieser
Pošip
Poulsard
Prairie Star
Prč
Preknadi
Premsal
Prensal Blanc
Prié Blanc
Prieto Picudo
Primitivo
Primitivo di Manduria
Procanico
Promara
Prosecco
Prunelart
Pugnitello
Quagliano
Quebranta
Queixal de Llop
Rabigato
Rabosa
Raboso
Rajnski Rizling
Rakszőlő
Ratinho
Ravanese
Ravat Blanc
Ravenec
Rebula
Red Wine
Refosco
Refosco dal Peduncolo Rosso
Refošk
Regent
Ribeyrenc
Ribolla Gialla
Riesling
Riesling Renano
Ripoli
Riveirenc Noir
Rkatsiteli
Robola
Robola of Cephalonia
Rodinos
Roditis
Roesler
Roigenc
Rolle
Romarantin
Romeiko
Romé Tinto
Romorantin
Rondinella
Rosa del Peru
Rosario Bianco
Roscetto
Rossanella
Rossese
Rotburger
Roter Traminer
Roter Veltliner
Rotgipfler
Roupeiro
Rousanne/Viognier
Roussanne
Roussette
Royal
Ruche
Rufete
Rufete Blanca
Rukatac
Russets
Sagrantino
Saint-Jeannet
Salamino
Salvador
Samarrinho
Samso
Samsó
San Colombana
San Francisco
Sangiovese
Sangiovese Grosso
Sangioveto
Sankt Laurent
Sansigot
Santameriana
Santareno
Saperavi
Sárfefér
Sárgamuskotály
Sauvignon
Sauvignonasse
Sauvignon Blanc
Sauvignon Gris
Sauvignon Musque
Savagnin
Savatiano
Scheurebe
Schiava
Schioppettino
Sciaccarellu
Sciaglìn
Sciascinoso
Seibel
Semillon
Semillon Blanc
Seminário
Sercial
Sercialinho
Sérine
Sev Areni
Seyval Blanc
Sgavetta
Shine Muscat
Shiraz
Silvaner
Sipalj
Siria
Skrlet
Slarina
Soave
Solaris
Somerset
Sousón
Souvignier Gris
Souzao
Spatburgunder
Spätburgunder
Spergola
Spergola 
Spourtiko
Stavroto
St. Croix
Steuben
St. Laurent
Subirat Parent
Sumoll
Sumoll Blanco
Sumoll de Grá Allargat
Sumoll de Grá Gros
Susumaniello
Sylvaner
Syrah
Szürkebarát
Tai Rosso
Tannat
Tardana
Tavkveri
Tawny Port
Tempranillo
Tempranillo Blanco
Tempranillo Peludo
Teraldego
Teran
Termanira
Teroldego
Terrano
Terrantez
Terret
Terret Blanc
Terret Bourret
Terret Gris
Tibouren
Timorasso
Tinta Amarela
Tinta Barroca
Tinta Caeo
Tinta Cao
Tinta Carvalha
Tinta de Toro
Tinta Fina
Tinta Francisca
Tinta Grossa
Tinta Miuda
Tinta Negra
Tinta Roriz
Tintilia
Tintilla
Tinto Cão
Tinto Fino
Tinto Francisca
Tintore di Tramonti
Tinto Roriz
Tobaxiche (Agave)
Tocai Friulano
Tokaj Friulano
Topaz Apples
Torbat
Torontel
Torrontes
Tourbat
Touriga Franca
Touriga Nacional
Trajadura
Traminer
Traminette
Trebbianello
Trebbiano
Trebbiano d'Abruzzo
Trebbiano della Fiamma
Trebbiano di Soave
Trebbiano Romagnolo
Trebbiano Spoletino
Trebbiano Toscano
Treixadura
Trepat
Tressalier
Triexadura
Trincadeira
Trnjak
Trollinger
Trousseau
Trousseau Gris
Tsaoussi
Tsitska
Tsolikouri
Turbiana
Turca
Txori Mahatsa
Ugni Blanc
Ull de Llebre
Ull de Perdiu
Uva Pecora
Uva Rara
Uva Rey
Uva Termarina
Uva Toscana
Vaccarese
Valdigue
Valdiguie
Vamvakada
Vardea
various
Verdealbara
Verdeca
Verdejo
Verdelho
Verdello
Verdicchio
Verdil
Verdiso
Verdoncho
Verduzzo
Vermentino
Vermentino Nero
Vermentinu
Vernaccia
Vernaccia Rossa
Vertzami
Vespaiolo
Vespolina
Vidal
Vidal Blanc 
Vidiano
Vien de Nus
Vijariego Blanco
Vilana
Vin de Liqueur
Vinhão
Vinyater
Viognier
Viosinho
Vipavec
Vital
Vitovska
Viura
Vlahiko
Vostilidi
Vranac
Weissburgunder
Welschriesling
White Grenache
White Grenache 
White Tempranillo
White Zinfandel
Winesap
Winter Banana
Xarello
Xarel-lo
Xarel-lo Vermell
Xinomavro
Xynisteri
Yama Sauvignon
Yapincak
Yellow Muscat
Yiannoudi
York Imperial
Žametna Črnina
Zefir
Zelen
Zeleni Sauvignon
Zenit
Zéta
Zibibbo
Zierfandler
Žilavka
Zin
Zinfandel
Zin/mourvedre
Žlahtina
Zlatarica
Zweigelt
Zweigelt 
 Malvasia
 Raboso
 Trebbiano Toscano
